@timestamp,agent.name,logger,ssh daemon
"Oct 24, 2022 @ 23:12:55.362",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:55.362",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:55.362",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:53.359",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:53.359",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:53.359",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:53.359",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:53.359",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:53.359",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:53.359",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:53.359",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:51.354",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:51.354",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:51.354",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:51.354",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:51.354",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:51.354",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:51.354",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:51.354",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:49.342",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:49.342",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:49.342",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:49.342",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:47.341",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:47.341",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:47.341",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
"Oct 24, 2022 @ 23:12:47.341",filebeat-ssh,ssh sshd,pam_unix(sshdauth)
