@timestamp,agent.hostname,command,cwd,event.ingested,filename,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,sid,tty,uid
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,lsb_release -a,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/bin/lsb_release,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/bin/lsb_release]: lsb_release -a,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,uname -rs,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/exploits/Lateral_Movement_T1210/venv/bin/uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/exploits/Lateral_Movement_T1210/venv/bin/uname]: uname -rs,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,uname -rs,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/usr/local/sbin/uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/local/sbin/uname]: uname -rs,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,uname -rs,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/usr/local/bin/uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/local/bin/uname]: uname -rs,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,uname -rs,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/usr/sbin/uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/sbin/uname]: uname -rs,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,uname -rs,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/usr/bin/uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/usr/bin/uname]: uname -rs,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,uname -rs,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/sbin/uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/sbin/uname]: uname -rs,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,uname -rs,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/bin/uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/bin/uname]: uname -rs,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,uname -p,/exploits/Lateral_Movement_T1210,"Oct 24, 2022 @ 23:29:18.755",/bin/uname,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210 filename:/bin/uname]: uname -p,256075,/dev/pts/0,0
"Oct 24, 2022 @ 23:29:17.029",dvwa_web,python2.7 setup.py install,/exploits/Lateral_Movement_T1210/impacket,"Oct 24, 2022 @ 23:29:18.755",/exploits/Lateral_Movement_T1210/venv/bin/python2.7,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",dvwa_web,bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),[uid:0 sid:256075 tty:/dev/pts/0 cwd:/exploits/Lateral_Movement_T1210/impacket filename:/exploits/Lateral_Movement_T1210/venv/bin/python2.7]: python2.7 setup.py install,256075,/dev/pts/0,0
