,LogName,RuleName,UtcTime,ProcessGuid,ProcessId,QueryName,QueryStatus,QueryResults,Image,User,EventType,TargetObject,Details,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentCommandLine,ParentUser,TargetFilename,CreationUtcTime,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,SourcePortName,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName
243," Network connection detected:
",-,2022-10-25 01:32:13.010,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51899,-,104.20.73.28,-,443,https
244," File created:
",-,2022-10-25 01:32:14.579,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\ib5kftmx.4u1\Tools\ChocolateyInstall.ps1,2022-10-25 01:32:14.579,,,,,,,,,,
245," Network connection detected:
",-,2022-10-25 01:32:13.471,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51900,-,104.20.74.28,-,443,https
246," File created:
",-,2022-10-25 01:32:15.182,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\3odylefq.vis\tools\ChocolateyInstall.ps1,2022-10-25 01:32:15.182,,,,,,,,,,
247," Network connection detected:
",-,2022-10-25 01:32:14.610,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51901,-,104.20.73.28,-,443,https
248," File created:
",-,2022-10-25 01:32:15.844,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\3t3lvozb.t2r\tools\ChocolateyInstall.ps1,2022-10-25 01:32:15.844,,,,,,,,,,
249," Network connection detected:
",-,2022-10-25 01:32:15.212,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51903,-,104.20.73.28,-,443,https
250," Network connection detected:
",-,2022-10-25 01:32:15.735,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51904,-,104.20.74.28,-,443,https
251," Network connection detected:
",-,2022-10-25 01:32:15.062,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51902,-,104.20.74.28,-,443,https
252," File created:
",-,2022-10-25 01:32:16.417,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\5lwsjhin.dfg\tools\chocolateyinstall.ps1,2022-10-25 01:32:16.417,,,,,,,,,,
253," Network connection detected:
",-,2022-10-25 01:32:15.873,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51905,-,104.20.73.28,-,443,https
254," Network connection detected:
",-,2022-10-25 01:32:16.311,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51906,-,104.20.74.28,-,443,https
255," Network connection detected:
",-,2022-10-25 01:32:16.451,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51907,-,104.20.73.28,-,443,https
256," Network connection detected:
",-,2022-10-25 01:32:16.876,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,,,tcp,true,10.0.0.2,dc.mshome.net,51908,-,104.20.74.28,-,443,https
257," File created:
",-,2022-10-25 01:32:24.343,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\i3lwdkw5.mcg\tools\chocolateyInstall.ps1,2022-10-25 01:32:24.343,,,,,,,,,,
258," File created:
",-,2022-10-25 01:32:24.344,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\i3lwdkw5.mcg\tools\helpers.ps1,2022-10-25 01:32:24.344,,,,,,,,,,
259," File created:
",EXE,2022-10-25 01:32:24.345,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\i3lwdkw5.mcg\tools\python-3.10.8-amd64.exe,2022-10-25 01:32:24.345,,,,,,,,,,
260," File created:
",EXE,2022-10-25 01:32:24.423,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\chocolatey\NuGetScratch\179015ed-1fff-4dd7-82b9-5f5e590765d3\i3lwdkw5.mcg\tools\python-3.10.8.exe,2022-10-25 01:32:24.423,,,,,,,,,,
261," File created:
",-,2022-10-25 01:32:24.547,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\ProgramData\chocolatey\lib\chocolatey-compatibility.extension\extensions\helpers\Get-PackageParameters.ps1,2022-10-25 01:32:24.547,,,,,,,,,,
262," File created:
",-,2022-10-25 01:32:24.548,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\ProgramData\chocolatey\lib\chocolatey-compatibility.extension\extensions\helpers\Get-UninstallRegistryKey.ps1,2022-10-25 01:32:24.548,,,,,,,,,,
263," File created:
",-,2022-10-25 01:32:24.548,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\ProgramData\chocolatey\lib\chocolatey-compatibility.extension\extensions\helpers\Install-ChocolateyDesktopLink.ps1,2022-10-25 01:32:24.548,,,,,,,,,,
264," File created:
",-,2022-10-25 01:32:24.550,{fb91fd7c-3c95-6357-e400-000000000d00},4576,,,,C:\ProgramData\chocolatey\choco.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\ProgramData\chocolatey\lib\chocolatey-compatibility.extension\extensions\helpers\Write-ChocolateyFailure.ps1,2022-10-25 01:32:24.550,,,,,,,,,,
