"@timestamp","agent.name",message
"Oct 24, 2022 @ 23:13:53.389","filebeat-ssh","Oct 24 15:13:53 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:53.389","filebeat-ssh","Oct 24 15:13:53 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:51.575","filebeat-honeypot","2022/10/24 15:13:49 [172.18.0.5:39770] authentication for user ""bin"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:51.575","filebeat-honeypot","2022/10/24 15:13:50 [172.18.0.5:39774] authentication for user ""bin"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:51.575","filebeat-honeypot","2022/10/24 15:13:50 [172.18.0.5:39778] authentication for user ""bin"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:51.575","filebeat-honeypot","2022/10/24 15:13:51 [172.18.0.5:39782] authentication for user ""bin"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:51.389","filebeat-ssh","Oct 24 15:13:49 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:51.389","filebeat-ssh","Oct 24 15:13:49 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:51.389","filebeat-ssh","Oct 24 15:13:50 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:51.389","filebeat-ssh","Oct 24 15:13:50 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:51.389","filebeat-ssh","Oct 24 15:13:50 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:51.389","filebeat-ssh","Oct 24 15:13:50 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:51.389","filebeat-ssh","Oct 24 15:13:51 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:51.389","filebeat-ssh","Oct 24 15:13:51 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:49.573","filebeat-honeypot","2022/10/24 15:13:47 [172.18.0.5:39752] authentication for user ""backup"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:49.573","filebeat-honeypot","2022/10/24 15:13:48 [172.18.0.5:39756] authentication for user ""backup"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:49.573","filebeat-honeypot","2022/10/24 15:13:48 [172.18.0.5:39762] authentication for user ""backup"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:49.573","filebeat-honeypot","2022/10/24 15:13:49 [172.18.0.5:39766] authentication for user ""backup"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:49.387","filebeat-ssh","Oct 24 15:13:47 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:49.387","filebeat-ssh","Oct 24 15:13:47 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:49.387","filebeat-ssh","Oct 24 15:13:48 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:49.387","filebeat-ssh","Oct 24 15:13:48 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
