@timestamp,agent.hostname,auditd.log.AUID,auditd.log.EGID,auditd.log.EUID,auditd.log.FSGID,auditd.log.FSUID,auditd.log.GID,auditd.log.OGID,auditd.log.SGID,auditd.log.SUID,auditd.log.SYSCALL,auditd.log.UID,auditd.log.a0,auditd.log.a1,auditd.log.a2,auditd.log.a3,auditd.log.arch,auditd.log.cap_fe,auditd.log.cap_fi,auditd.log.cap_fp,auditd.log.cap_frootid,auditd.log.cap_fver,auditd.log.dev,auditd.log.epoch,auditd.log.grantors,auditd.log.inode,auditd.log.item,auditd.log.items,auditd.log.key,auditd.log.kv,auditd.log.laddr,auditd.log.lport,auditd.log.mode,auditd.log.name,auditd.log.nametype,auditd.log.nlnk-fam,auditd.log.nlnk-pid,auditd.log.op,auditd.log.proctitle,auditd.log.rdev,auditd.log.record_type,auditd.log.saddr,auditd.log.saddr_fam,auditd.log.sequence,auditd.log.ses,auditd.log.subj_apparmor,auditd.log.success,auditd.log.syscall,auditd.log.tty,auditd.log.uid,error.message,event.action,event.category,event.ingested,event.module,event.original,event.outcome,event.type,fileset.name,host.hostname,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,message,network.direction,process.executable,process.executable.text,process.exit_code,process.name,process.name.text,process.parent.pid,process.pid,service.type,user.audit.id,user.effective.group.id,user.effective.id,user.effective.name,user.effective.name.text,user.filesystem.group.id,user.filesystem.id,user.group.id,user.id,user.name,user.name.text,user.owner.group.id,user.owner.id,user.saved.group.id,user.saved.id
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,443",-,docker-default,-,-,-,-,-,unknown[1420],-,"Oct 24, 2022 @ 23:22:28.380",auditd,type=UNKNOWN[1420] msg=audit(1666624945.900:285443): subj_apparmor=docker-default,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,unset,root,root,root,root,root,-,root,root,socket,root,2,2,0,25,x86_64,-,-,-,-,-,-,-,-,-,-,0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,444",4294967295,-,yes,41,(none),-,-,syscall,process,"Oct 24, 2022 @ 23:22:28.380",auditd,"type=SYSCALL msg=audit(1666624945.900:285444): arch=c000003e syscall=41 success=yes exit=3 a0=2 a1=2 a2=0 a3=25 items=0 ppid=179991 pid=256116 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""smbclient"" exe=""/usr/bin/smbclient"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",-,info,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,/usr/bin/smbclient,/usr/bin/smbclient,3,smbclient,smbclient,"179,991","256,116",auditd,4294967295,0,0,-,-,0,0,0,0,-,-,-,-,0,0
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,smbclient^@//fileserver/data^@-U=sambacry%nosambanocry^@-c^@del interesting_file.txt,-,-,-,-,"285,444",-,-,-,-,-,-,-,proctitle,-,"Oct 24, 2022 @ 23:22:28.380",auditd,type=PROCTITLE msg=audit(1666624945.900:285444): proctitle=736D62636C69656E74002F2F66696C657365727665722F64617461002D553D73616D6261637279256E6F73616D62616E6F637279002D630064656C20696E746572657374696E675F66696C652E747874,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,444",-,docker-default,-,-,-,-,-,unknown[1420],-,"Oct 24, 2022 @ 23:22:28.380",auditd,type=UNKNOWN[1420] msg=audit(1666624945.900:285444): subj_apparmor=docker-default,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,unset,root,root,root,root,root,-,root,root,socket,root,2,2,0,25,x86_64,-,-,-,-,-,-,-,-,-,-,0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,445",4294967295,-,yes,41,(none),-,-,syscall,process,"Oct 24, 2022 @ 23:22:28.380",auditd,"type=SYSCALL msg=audit(1666624945.900:285445): arch=c000003e syscall=41 success=yes exit=3 a0=2 a1=2 a2=0 a3=25 items=0 ppid=179991 pid=256116 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""smbclient"" exe=""/usr/bin/smbclient"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",-,info,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,/usr/bin/smbclient,/usr/bin/smbclient,3,smbclient,smbclient,"179,991","256,116",auditd,4294967295,0,0,-,-,0,0,0,0,-,-,-,-,0,0
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,smbclient^@//fileserver/data^@-U=sambacry%nosambanocry^@-c^@del interesting_file.txt,-,-,-,-,"285,445",-,-,-,-,-,-,-,proctitle,-,"Oct 24, 2022 @ 23:22:28.381",auditd,type=PROCTITLE msg=audit(1666624945.900:285445): proctitle=736D62636C69656E74002F2F66696C657365727665722F64617461002D553D73616D6261637279256E6F73616D62616E6F637279002D630064656C20696E746572657374696E675F66696C652E747874,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,445",-,docker-default,-,-,-,-,-,unknown[1420],-,"Oct 24, 2022 @ 23:22:28.381",auditd,type=UNKNOWN[1420] msg=audit(1666624945.900:285445): subj_apparmor=docker-default,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,unset,root,root,root,root,root,-,root,root,socket,root,2,1,0,55fca3d38c10,x86_64,-,-,-,-,-,-,-,-,-,-,0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,446",4294967295,-,yes,41,(none),-,-,syscall,process,"Oct 24, 2022 @ 23:22:28.381",auditd,"type=SYSCALL msg=audit(1666624945.900:285446): arch=c000003e syscall=41 success=yes exit=5 a0=2 a1=1 a2=0 a3=55fca3d38c10 items=0 ppid=179991 pid=256116 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""smbclient"" exe=""/usr/bin/smbclient"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",-,info,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,/usr/bin/smbclient,/usr/bin/smbclient,5,smbclient,smbclient,"179,991","256,116",auditd,4294967295,0,0,-,-,0,0,0,0,-,-,-,-,0,0
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,smbclient^@//fileserver/data^@-U=sambacry%nosambanocry^@-c^@del interesting_file.txt,-,-,-,-,"285,446",-,-,-,-,-,-,-,proctitle,-,"Oct 24, 2022 @ 23:22:28.382",auditd,type=PROCTITLE msg=audit(1666624945.900:285446): proctitle=736D62636C69656E74002F2F66696C657365727665722F64617461002D553D73616D6261637279256E6F73616D62616E6F637279002D630064656C20696E746572657374696E675F66696C652E747874,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Oct 24, 2022 @ 23:22:25.900",dvwa_web,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,446",-,docker-default,-,-,-,-,-,unknown[1420],-,"Oct 24, 2022 @ 23:22:28.382",auditd,type=UNKNOWN[1420] msg=audit(1666624945.900:285446): subj_apparmor=docker-default,-,-,log,dvwa_web,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),-,-,-,-,-,-,-,-,-,auditd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
