@timestamp,agent.hostname,bytes_in,bytes_out,destination.bytes,destination.ip,destination.packets,destination.port,event.duration,event.end,event.start,event.type,flow.final,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,network.bytes,network.packets,network.transport,network.type,source.bytes,source.ip,source.packets,source.port
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,735,"1,461","1,461",123.123.123.123,4,80,"629,819","Oct 24, 2022 @ 23:32:25.074","Oct 24, 2022 @ 23:32:25.074",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,196",10,tcp,ipv4,735,123.123.123.4,6,"60,722"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,697,557,557,10.10.10.20,6,"3,306","236,150","Oct 24, 2022 @ 23:32:25.074","Oct 24, 2022 @ 23:32:25.074",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"33,266"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,621,478,478,10.10.10.20,5,"3,306","119,680","Oct 24, 2022 @ 23:32:25.074","Oct 24, 2022 @ 23:32:25.074",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"33,282"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,"1,548","3,687","3,687",123.123.123.123,6,80,"1,402,308","Oct 24, 2022 @ 23:32:25.076","Oct 24, 2022 @ 23:32:25.074",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"5,235",15,tcp,ipv4,"1,548",123.123.123.4,9,"60,732"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,"1,079","1,565","1,565",10.10.10.20,8,"3,306","304,789","Oct 24, 2022 @ 23:32:25.075","Oct 24, 2022 @ 23:32:25.075",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,644",18,tcp,ipv4,"1,079",10.10.10.10,10,"33,284"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,621,478,478,10.10.10.20,5,"3,306","246,200","Oct 24, 2022 @ 23:32:25.075","Oct 24, 2022 @ 23:32:25.075",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"33,300"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,801,"3,161","3,161",123.123.123.123,4,80,"230,299","Oct 24, 2022 @ 23:32:25.076","Oct 24, 2022 @ 23:32:25.076",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"3,962",10,tcp,ipv4,801,123.123.123.4,6,"60,742"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,813,"2,004","2,004",123.123.123.123,4,80,"1,357,018","Oct 24, 2022 @ 23:32:25.077","Oct 24, 2022 @ 23:32:25.076",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,817",10,tcp,ipv4,813,123.123.123.4,6,"60,750"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,629,625,625,10.10.10.20,7,"3,306","242,140","Oct 24, 2022 @ 23:32:25.077","Oct 24, 2022 @ 23:32:25.077",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"33,302"
"Oct 24, 2022 @ 23:32:40.002",dvwa_web,553,546,546,10.10.10.20,6,"3,306","106,999","Oct 24, 2022 @ 23:32:25.077","Oct 24, 2022 @ 23:32:25.077",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"33,304"
