@timestamp,agent.hostname,bytes_in,bytes_out,destination.bytes,destination.ip,destination.packets,destination.port,event.duration,event.end,event.start,event.type,flow.final,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,network.bytes,network.packets,network.transport,network.type,source.bytes,source.ip,source.packets,source.port
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,"1,079","1,565","1,565",10.10.10.20,8,"3,306","1,698,508","Oct 24, 2022 @ 23:24:41.553","Oct 24, 2022 @ 23:24:41.551",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,644",18,tcp,ipv4,"1,079",10.10.10.10,10,"53,350"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,621,478,478,10.10.10.20,5,"3,306","1,007,049","Oct 24, 2022 @ 23:24:41.553","Oct 24, 2022 @ 23:24:41.552",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"53,354"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,939,"23,528","23,528",123.123.123.123,6,80,"3,643,995","Oct 24, 2022 @ 23:24:41.558","Oct 24, 2022 @ 23:24:41.554",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"24,467",14,tcp,ipv4,939,123.123.123.2,8,"49,816"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,814,"2,149","2,149",123.123.123.123,4,80,"906,799","Oct 24, 2022 @ 23:24:41.559","Oct 24, 2022 @ 23:24:41.558",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,963",10,tcp,ipv4,814,123.123.123.2,6,"49,830"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,697,557,557,10.10.10.20,6,"3,306","485,859","Oct 24, 2022 @ 23:24:41.558","Oct 24, 2022 @ 23:24:41.558",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"53,358"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,621,478,478,10.10.10.20,5,"3,306","355,310","Oct 24, 2022 @ 23:24:41.558","Oct 24, 2022 @ 23:24:41.558",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"53,370"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,819,"1,978","1,978",123.123.123.123,4,80,"1,093,039","Oct 24, 2022 @ 23:24:41.560","Oct 24, 2022 @ 23:24:41.559",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,797",10,tcp,ipv4,819,123.123.123.2,6,"49,832"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,629,625,625,10.10.10.20,7,"3,306","230,620","Oct 24, 2022 @ 23:24:41.560","Oct 24, 2022 @ 23:24:41.559",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"53,378"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,553,546,546,10.10.10.20,6,"3,306","105,240","Oct 24, 2022 @ 23:24:41.560","Oct 24, 2022 @ 23:24:41.559",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"53,388"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,"1,255","1,755","1,755",123.123.123.123,5,80,"649,709","Oct 24, 2022 @ 23:24:41.560","Oct 24, 2022 @ 23:24:41.560",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"3,010",12,tcp,ipv4,"1,255",123.123.123.2,7,"49,836"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,697,557,557,10.10.10.20,6,"3,306","225,260","Oct 24, 2022 @ 23:24:41.560","Oct 24, 2022 @ 23:24:41.560",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"53,396"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,621,546,546,10.10.10.20,6,"3,306","110,020","Oct 24, 2022 @ 23:24:41.560","Oct 24, 2022 @ 23:24:41.560",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,167",13,tcp,ipv4,621,10.10.10.10,7,"53,400"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,735,"1,462","1,462",123.123.123.123,4,80,"628,240","Oct 24, 2022 @ 23:24:45.138","Oct 24, 2022 @ 23:24:45.137",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,197",10,tcp,ipv4,735,123.123.123.3,6,"42,690"
