date,time,action,protocol,src-ip,dst-ip,src-port,dst-port,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,info,path,pid
25/10/2022,00:51:23,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:23,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:24,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:24,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:24,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:25,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:25,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:25,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:27,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:27,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:27,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:28,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:28,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:28,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:29,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:29,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:29,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:30,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:30,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:30,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:31,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:31,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:31,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:32,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:32,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:32,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:33,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:33,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:33,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:34,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:34,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:34,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:35,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:35,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:35,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:36,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:36,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:36,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:37,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:37,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:37,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:38,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:38,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:38,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:39,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:39,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:39,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
