@timestamp,event.action,event.type,file.extension,file.path
"Oct 22, 2022 @ 21:55:20.774",created,creation,-,/usr/bin/python3m
"Oct 22, 2022 @ 21:55:20.771",created,creation,-,/usr/bin/py3clean
"Oct 22, 2022 @ 21:55:20.765",moved,change,-,/usr/bin/py3clean.dpkg-new
"Oct 22, 2022 @ 21:55:20.762",moved,change,-,/usr/bin/py3compile.dpkg-new
"Oct 22, 2022 @ 21:55:20.762",created,creation,-,/usr/bin/py3compile
"Oct 22, 2022 @ 21:55:20.760",attributes_modified,change,-,/usr/bin/py3clean.dpkg-new
"Oct 22, 2022 @ 21:55:20.749",attributes_modified,change,-,/usr/bin/py3clean.dpkg-new
"Oct 22, 2022 @ 21:55:20.745",attributes_modified,change,-,/usr/bin/py3clean.dpkg-new
"Oct 22, 2022 @ 21:55:20.740","updated, attributes_modified",change,dpkg-new,/usr/bin/py3clean.dpkg-new
"Oct 22, 2022 @ 21:55:20.738",created,creation,dpkg-new,/usr/bin/py3clean.dpkg-new
"Oct 22, 2022 @ 21:55:20.734",attributes_modified,change,dpkg-new,/usr/bin/py3compile.dpkg-new
"Oct 22, 2022 @ 21:55:20.691","updated, attributes_modified",change,dpkg-new,/usr/bin/py3compile.dpkg-new
"Oct 22, 2022 @ 21:55:20.686",created,creation,dpkg-new,/usr/bin/py3compile.dpkg-new
"Oct 22, 2022 @ 21:55:20.535",created,creation,-,/usr/bin/pdb3.4
"Oct 22, 2022 @ 21:55:20.489",moved,change,-,/usr/bin/pdb3.4.dpkg-new
"Oct 22, 2022 @ 21:55:20.479",moved,change,-,/usr/bin/pydoc3.4.dpkg-new
"Oct 22, 2022 @ 21:55:20.479",created,creation,4,/usr/bin/pydoc3.4
"Oct 22, 2022 @ 21:55:20.466",created,creation,4,/usr/bin/2to3-3.4
"Oct 22, 2022 @ 21:55:20.458",moved,change,-,/usr/bin/2to3-3.4.dpkg-new
"Oct 22, 2022 @ 21:55:20.451",created,creation,4,/usr/bin/pygettext3.4
"Oct 22, 2022 @ 21:55:20.435",moved,change,-,/usr/bin/pygettext3.4.dpkg-new
"Oct 22, 2022 @ 21:55:20.381",attributes_modified,change,-,/usr/bin/pygettext3.4.dpkg-new
"Oct 22, 2022 @ 21:55:20.367",attributes_modified,change,dpkg-new,/usr/bin/pygettext3.4.dpkg-new
"Oct 22, 2022 @ 21:55:20.366","updated, attributes_modified",change,dpkg-new,/usr/bin/pygettext3.4.dpkg-new
"Oct 22, 2022 @ 21:55:20.358",created,creation,dpkg-new,/usr/bin/pygettext3.4.dpkg-new
