Classification,Date,Day,Job,LogType,Month,Path,Result,Time,User
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,14:19:01,(root)
CRON[892],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:20:01,(/usr/bin/config/checkAdmin.sh
CRON[812],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:18:01,(/usr/bin/config/checkElk.sh
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,14:15:01,(root)
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,14:15:01,(root)
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,14:15:01,(root)
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,14:15:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,Failure,14:15:04,(root)
CRON[729],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:16:01,(/usr/bin/config/checkAdmin.sh
CRON[730],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),14:16:01,(/usr/bin/config/rsyslog.sh
CRON[731],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:16:01,(/usr/bin/config/checkDb.sh
CRON[739],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:16:01,(/usr/bin/config/checkDev.sh
MONITOR,25,Tuesday,DB-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDb.sh,Successful,14:16:01,(root)
CRON[745],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:16:01,(/usr/bin/config/checkElk.sh
MONITOR,25,Tuesday,ADMIN-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkAdmin.sh,Successful,14:16:01,(root)
MONITOR,25,Tuesday,DEV-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkDev.sh,/usr/local/lib/dev/utils.so: connect: Connection refused,14:16:01,(root)
MONITOR,25,line,Connection,/usr/local/lib/dev/utils.so:,Oct,/dev/tcp/10.0.0.3/4444:,refused,14:16:01,1:00
MONITOR,25,Tuesday,ELK-PING,[CRONOUTPUT],Oct,/usr/bin/config/checkElk.sh,Successful,14:16:01,(root)
SERVICE,25,Tuesday,STATUS,[CRONOUTPUT],Oct,/usr/bin/config/rsyslog.sh,Running,14:16:01,(root)
CRON[768],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:17:01,(/usr/bin/config/checkAdmin.sh
CRON[769],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:17:01,(/usr/bin/config/checkDb.sh
CRON[770],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:17:01,(/usr/bin/config/checkDev.sh
CRON[771],25,CMD,|,(root),Oct,2>&1,logger -t MONITOR),14:17:01,(/usr/bin/config/checkElk.sh
CRON[774],25,CMD,|,(root),Oct,2>&1,logger -t SERVICE),14:17:01,(/usr/bin/config/rsyslog.sh
