@timestamp,Classification,Date,JobType,LogType,Month,Path,Time,User,host.os.version.keyword,log.file.path
"Oct 25, 2022 @ 23:25:03.580",MONITOR,25,CMD,CRON[3656]:,Oct,/usr/bin/config/checkDev.sh,15:25:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:25:03.580",MONITOR,25,CMD,CRON[3658]:,Oct,/usr/bin/config/checkElk.sh,15:25:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:25:03.580",MONITOR,25,CMD,CRON[3662]:,Oct,/usr/bin/config/checkDb.sh,15:25:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:24:09.572",MONITOR,25,CMD,CRON[3615]:,Oct,/usr/bin/config/checkAdmin.sh,15:24:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:24:09.572",MONITOR,25,CMD,CRON[3616]:,Oct,/usr/bin/config/checkDev.sh,15:24:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:24:09.572",SERVICE,25,CMD,CRON[3614]:,Oct,/usr/bin/config/rsyslog.sh,15:24:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:24:09.572",MONITOR,25,CMD,CRON[3617]:,Oct,/usr/bin/config/checkDb.sh,15:24:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:24:09.572",MONITOR,25,CMD,CRON[3620]:,Oct,/usr/bin/config/checkElk.sh,15:24:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:23:05.561",MONITOR,25,CMD,CRON[3575]:,Oct,/usr/bin/config/checkAdmin.sh,15:23:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:23:05.561",MONITOR,25,CMD,CRON[3578]:,Oct,/usr/bin/config/checkDb.sh,15:23:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:23:05.561",MONITOR,25,CMD,CRON[3579]:,Oct,/usr/bin/config/checkDev.sh,15:23:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:23:05.561",MONITOR,25,CMD,CRON[3580]:,Oct,/usr/bin/config/checkElk.sh,15:23:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:23:05.561",SERVICE,25,CMD,CRON[3585]:,Oct,/usr/bin/config/rsyslog.sh,15:23:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:22:01.548",MONITOR,25,CMD,CRON[3536]:,Oct,/usr/bin/config/checkAdmin.sh,15:22:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:22:01.548",MONITOR,25,CMD,CRON[3537]:,Oct,/usr/bin/config/checkDb.sh,15:22:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:22:01.548",MONITOR,25,CMD,CRON[3542]:,Oct,/usr/bin/config/checkElk.sh,15:22:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:22:01.548",MONITOR,25,CMD,CRON[3544]:,Oct,/usr/bin/config/checkDev.sh,15:22:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:22:01.548",SERVICE,25,CMD,CRON[3548]:,Oct,/usr/bin/config/rsyslog.sh,15:22:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:21:07.534",MONITOR,25,CMD,CRON[3498]:,Oct,/usr/bin/config/checkElk.sh,15:21:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:21:07.534",MONITOR,25,CMD,CRON[3503]:,Oct,/usr/bin/config/checkDb.sh,15:21:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:21:07.534",SERVICE,25,CMD,CRON[3506]:,Oct,/usr/bin/config/rsyslog.sh,15:21:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:21:07.534",MONITOR,25,CMD,CRON[3505]:,Oct,/usr/bin/config/checkDev.sh,15:21:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:21:07.533",MONITOR,25,CMD,CRON[3497]:,Oct,/usr/bin/config/checkAdmin.sh,15:21:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:20:03.524",SERVICE,25,CMD,CRON[3458]:,Oct,/usr/bin/config/rsyslog.sh,15:20:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:20:03.524",MONITOR,25,CMD,CRON[3459]:,Oct,/usr/bin/config/checkAdmin.sh,15:20:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:20:03.524",MONITOR,25,CMD,CRON[3462]:,Oct,/usr/bin/config/checkElk.sh,15:20:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:20:03.524",MONITOR,25,CMD,CRON[3460]:,Oct,/usr/bin/config/checkDev.sh,15:20:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:20:03.524",MONITOR,25,CMD,CRON[3461]:,Oct,/usr/bin/config/checkDb.sh,15:20:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:19:09.519",SERVICE,25,CMD,CRON[3425]:,Oct,/usr/bin/config/rsyslog.sh,15:19:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:19:09.518",MONITOR,25,CMD,CRON[3419]:,Oct,/usr/bin/config/checkDev.sh,15:19:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:19:09.518",MONITOR,25,CMD,CRON[3420]:,Oct,/usr/bin/config/checkAdmin.sh,15:19:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:19:09.518",MONITOR,25,CMD,CRON[3421]:,Oct,/usr/bin/config/checkDb.sh,15:19:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:19:09.518",MONITOR,25,CMD,CRON[3422]:,Oct,/usr/bin/config/checkElk.sh,15:19:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:18:05.508",MONITOR,25,CMD,CRON[3380]:,Oct,/usr/bin/config/checkAdmin.sh,15:18:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:18:05.508",MONITOR,25,CMD,CRON[3381]:,Oct,/usr/bin/config/checkDb.sh,15:18:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:18:05.508",MONITOR,25,CMD,CRON[3385]:,Oct,/usr/bin/config/checkElk.sh,15:18:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:18:05.508",MONITOR,25,CMD,CRON[3384]:,Oct,/usr/bin/config/checkDev.sh,15:18:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:18:05.508",SERVICE,25,CMD,CRON[3388]:,Oct,/usr/bin/config/rsyslog.sh,15:18:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:17:11.499",MONITOR,25,CMD,CRON[3341]:,Oct,/usr/bin/config/checkDb.sh,15:17:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:17:11.499",MONITOR,25,CMD,CRON[3342]:,Oct,/usr/bin/config/checkAdmin.sh,15:17:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:17:11.499",MONITOR,25,CMD,CRON[3345]:,Oct,/usr/bin/config/checkDev.sh,15:17:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:17:11.499",MONITOR,25,CMD,CRON[3346]:,Oct,/usr/bin/config/checkElk.sh,15:17:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
